"species_id","Year","Production","Group","PelDemID","PISCZOOPL","Linf_cm","MaxAge_yr","IsDetritus","Classification","isHub","Class_Code","biomass_tonnes","catch_tonnes","landings_tonnes","consumption","MaxAllow","MaxGreenBand","MinGreenBand","RealMax","RealMin","catch","DistortScore","RefM","RefB","RefBo","Rel_B","Min_B","Max_B","B_Score"
"2",1999,0.000120038379327,"Baleen whale","TEP","TEP",1800,70,0,"Vulnerable",0,1,22199.63,0,0,11.19924,6.00191896635e-05,3.78378422187345e-07,3.78378422187345e-09,3.78378422187345e-07,3.78378422187345e-09,0,"L",0.02041281,0.006559504,24270.1648,0.914688061780281,0.5,0.7,"L"
"2",1997,0.00012002874001434,"Baleen whale","TEP","TEP",1800,70,0,"Vulnerable",0,1,22200.0111,0,0,11.19893,6.001437000717e-05,3.78328653627007e-07,3.78328653627007e-09,3.78328653627007e-07,3.78328653627007e-09,0,"L",0.02041281,0.006559504,24270.1648,0.914703764187048,0.5,0.7,"L"
"2",1996,0.000120007200033,"Baleen whale","TEP","TEP",1800,70,0,"Vulnerable",0,1,22200.111,0,0,11.19944,6.00036000165e-05,3.78217450155611e-07,3.78217450155611e-09,3.78217450155611e-07,3.78217450155611e-09,0,"L",0.02041281,0.006559504,24270.1648,0.914707880351929,0.5,0.7,"L"
"2",1998,0.00012004483964139,"Baleen whale","TEP","TEP",1800,70,0,"Vulnerable",0,1,22199.8261,0,0,11.19907,6.0022419820695e-05,3.78411778746506e-07,3.78411778746506e-09,3.78411778746506e-07,3.78411778746506e-09,0,"L",0.02041281,0.006559504,24270.1648,0.914696141659491,0.5,0.7,"L"
"20",2000,0.0019425546591984,"Chinaman leatherjacket","Demersal","Piscivorous",100,9,0,"Byproduct",0,3,18068.7132,1980.5619,1932.8393,2.407278,0.0009712773295992,3.61705722543698e-05,3.61705722543698e-07,3.61705722543698e-05,3.61705722543698e-07,0.000535287,"F",0.2936434,0.014507328,53677.1136,0.336618569594621,0.35,0.6,"F"
"20",1998,0.0018811931604208,"Chinaman leatherjacket","Demersal","Piscivorous",100,9,0,"Byproduct",0,3,18466.4003,1788.1693,1746.4851,2.364961,0.0009405965802104,3.43179940491452e-05,3.43179940491452e-07,3.43179940491452e-05,3.43179940491452e-07,0.000483289,"F",0.2936434,0.014507328,53677.1136,0.344027445991433,0.35,0.6,"F"
"20",1997,0.001951000634616,"Chinaman leatherjacket","Demersal","Piscivorous",100,9,0,"Byproduct",0,3,18692.696,2056.4045,2008.5709,2.343691,0.000975500317308,3.64285293412267e-05,3.64285293412267e-07,3.64285293412267e-05,3.64285293412267e-07,0.000555785,"F",0.2936434,0.014507328,53677.1136,0.34824331537827,0.35,0.6,"F"
"20",1996,0.001933639493181,"Chinaman leatherjacket","Demersal","Piscivorous",100,9,0,"Byproduct",0,3,19003.9289,1995.6764,1948.5088,2.318927,0.0009668197465905,3.5899060378804e-05,3.5899060378804e-07,3.5899060378804e-05,3.5899060378804e-07,0.000539372,"F",0.2936434,0.014507328,53677.1136,0.354041557480468,0.35,0.6,"A"
"20",1995,0.001887387331392,"Chinaman leatherjacket","Demersal","Piscivorous",100,9,0,"Byproduct",0,3,19174.7616,1873.7947,1829.0765,2.305405,0.000943693665696,3.45032795079386e-05,3.45032795079386e-07,3.45032795079386e-05,3.45032795079386e-07,0.000506431,"F",0.2936434,0.014507328,53677.1136,0.357224155957596,0.35,0.6,"A"
"20",1999,0.001883013714426,"Chinaman leatherjacket","Demersal","Piscivorous",100,9,0,"Byproduct",0,3,18336.6339,1756.9561,1716.6372,2.380717,0.000941506857213,3.43724117269839e-05,3.43724117269839e-07,3.43724117269839e-05,3.43724117269839e-07,0.000474853,"F",0.2936434,0.014507328,53677.1136,0.341609909143848,0.35,0.6,"F"
"21",1998,3.6099185291565,"Cucumberfish","Demersal","Piscivorous",21,5,0,"Byproduct",0,3,25876775.1,7766.2926,0,4.696576,1.80495926457825,8.18805482977987,0.0818805482977987,1.80495926457825,0.0818805482977987,0.002098998,"L",0.5089895,15.610058,57757214.6,0.448026714570823,0.35,0.6,"A"
"21",1996,3.6110624333718,"Cucumberfish","Demersal","Piscivorous",21,5,0,"Byproduct",0,3,25753931.4,7667.1881,0,4.70035,1.8055312166859,8.19230523949689,0.0819230523949689,1.8055312166859,0.0819230523949689,0.002072213,"L",0.5089895,15.610058,57757214.6,0.445899816643859,0.35,0.6,"A"
"21",2000,3.6198449783496,"Cucumberfish","Demersal","Piscivorous",21,5,0,"Byproduct",0,3,26096943.6,7758.5337,0,4.68499,1.8099224891748,8.22496719064803,0.0822496719064803,1.8099224891748,0.0822496719064803,0.002096901,"L",0.5089895,15.610058,57757214.6,0.451838679907531,0.35,0.6,"A"
